PROJECTION	ENST00000219439.23	I
PROJECTION	ENST00000448666.21	I
PROJECTION	ENST00000525735.27	I
PROJECTION	ENST00000039989.142	I
PROJECTION	ENST00000260315.27	UL
PROJECTION	ENST00000259951.10558	PI
PROJECTION	ENST00000605895.1	I
PROJECTION	ENST00000675240.5903	L
PROJECTION	ENST00000253413.130	I
PROJECTION	ENST00000524600.21	I
PROJECTION	ENST00000648595.38	I
PROJECTION	ENST00000311549.9	I
PROJECTION	ENST00000641521.6816	I
PROJECTION	ENST00000287380.5	I
PROJECTION	ENST00000418871.1537	M
PROJECTION	ENST00000409093.21	I
PROJECTION	ENST00000367339.23796	PI
PROJECTION	ENST00000374734.49	I
PROJECTION	ENST00000367819.6395	I
PROJECTION	ENST00000366815.36	I
PROJECTION	ENST00000380615.9	I
PROJECTION	ENST00000434197.9069	L
PROJECTION	ENST00000376806.3088	L
PROJECTION	ENST00000358053.30	I
PROJECTION	ENST00000405764.8	I
PROJECTION	ENST00000357086.44	I
PROJECTION	ENST00000290943.8884	UL
PROJECTION	ENST00000517649.433	L
PROJECTION	ENST00000399637.85	UL
PROJECTION	ENST00000227524.17	I
PROJECTION	ENST00000546344.61	I
PROJECTION	ENST00000389983.51	I
PROJECTION	ENST00000262844.2	I
PROJECTION	ENST00000377855.1	I
PROJECTION	ENST00000449132.67	L
PROJECTION	ENST00000561840.23	I
PROJECTION	ENST00000311575.7	I
PROJECTION	ENST00000512636.46	I
PROJECTION	ENST00000431232.43	I
PROJECTION	ENST00000449740.1935	PI
PROJECTION	ENST00000438146.51	I
PROJECTION	ENST00000343253.1	I
PROJECTION	ENST00000316491.62846	UL
PROJECTION	ENST00000527134.31	L
PROJECTION	ENST00000228827.58	I
PROJECTION	ENST00000358373.8	I
PROJECTION	ENST00000496856.3	I
PROJECTION	ENST00000533608.62	I
PROJECTION	ENST00000649846.1456	UL
PROJECTION	ENST00000520002.42	I
PROJECTION	ENST00000369442.1	I
PROJECTION	ENST00000295767.101	UL
PROJECTION	ENST00000217381.30	I
PROJECTION	ENST00000409069.8	I
PROJECTION	ENST00000616179.12425	PM
PROJECTION	ENST00000600799.4	L
PROJECTION	ENST00000531909.27	I
PROJECTION	ENST00000362034.17	I
PROJECTION	ENST00000619622.50	I
PROJECTION	ENST00000264868.11	I
PROJECTION	ENST00000258742.8	I
PROJECTION	ENST00000525815.27	I
PROJECTION	ENST00000409960.38	I
PROJECTION	ENST00000156499.48	I
PROJECTION	ENST00000217131.30	I
PROJECTION	ENST00000262302.43	I
PROJECTION	ENST00000460380.80	I
PROJECTION	ENST00000372569.25	I
PROJECTION	ENST00000409393.13	I
PROJECTION	ENST00000378959.48676	L
PROJECTION	ENST00000239926.41	I
PROJECTION	ENST00000507874.2398	UL
PROJECTION	ENST00000432072.16	I
PROJECTION	ENST00000261388.90867	PM
PROJECTION	ENST00000349880.17	I
PROJECTION	ENST00000323770.7041	L
PROJECTION	ENST00000354353.7	UL
