1	452700413	sorAra
2	381072001	sorAra
3	239582062	sorAra
4	222963043	sorAra
5	216565905	sorAra
6	169026226	sorAra
7	77757119	sorAra
8	71220267	sorAra
9	69197946	sorAra
10	67946173	sorAra
11	59732558	sorAra
X	374364821	sorAra
1	151027966	APCF
2	148086252	APCF
3	130919286	APCF
4	122348927	APCF
5	116465741	APCF
6	112643760	APCF
7	107904395	APCF
8	105146113	APCF
9	97708965	APCF
10	95000715	APCF
11	89262711	APCF
12	80915290	APCF
13	79366405	APCF
14	73011135	APCF
15	72411813	APCF
16	71317684	APCF
17	68373867	APCF
18	67286903	APCF
19	64407135	APCF
20	63720726	APCF
21	61244087	APCF
22	48945681	APCF
23	29095927	APCF
24	28650375	APCF
25	17307531	APCF
26	15777665	APCF
27	13196381	APCF
28	13028957	APCF
29	10056635	APCF
30	8717228	APCF
31	7461370	APCF
32	4656635	APCF
33	2429963	APCF
34	1658933	APCF
35	1250881	APCF
36	1039369	APCF

